id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,pca1,pca2,metric_value,quartile
23,1989,23,23,ATL,Roy Marble,Iowa,2.0,29.0,194.0,55.0,32.0,12.0,0.257,0.0,0.594,6.7,1.9,1.1,0.4,-0.5,-0.122,-8.8,-0.3,-2.4164237512239644,-0.6858552157365905,-0.3,1
29,1989,29,29,CHH,Dyron Nix,Tennessee,1.0,20.0,109.0,39.0,26.0,5.0,0.359,0.0,0.688,5.5,2.0,1.3,0.3,0.0,-0.015,-5.8,-0.1,-2.161363785626169,-0.6345023371620514,-0.1,1
32,1989,32,32,NJN,Stanley Brundy,DePaul,1.0,16.0,128.0,37.0,26.0,3.0,0.5,0.0,0.389,8.0,2.3,1.6,0.2,0.2,0.057,-3.1,0.0,-2.285217335416815,-2.271997572339743,0.0,1
33,1989,33,33,LAC,Jay Edwards,Indiana,1.0,4.0,26.0,7.0,2.0,4.0,0.429,0.0,0.333,6.5,1.8,0.5,1.0,0.0,0.022,-4.0,0.0,-2.494661988756558,-2.2604119163586036,0.0,1
34,1989,34,34,MIN,Gary Leonard,Missouri,3.0,31.0,149.0,44.0,34.0,2.0,0.459,0.0,0.5,4.8,1.4,1.1,0.1,0.1,0.029,-6.9,-0.2,-2.199374992870163,-1.7050778366992478,-0.2,1
35,1989,35,35,DAL,Pat Durham,Colorado State,2.0,64.0,930.0,323.0,108.0,57.0,0.469,0.192,0.667,14.5,5.0,1.7,0.9,0.7,0.037,-2.0,0.0,-1.6295515338179083,-0.19228469418810332,0.0,1
39,1989,39,39,WSB,Ed Horton,Iowa,1.0,45.0,374.0,202.0,108.0,19.0,0.494,0.0,0.609,8.3,4.5,2.4,0.4,0.4,0.05,-4.9,-0.3,-1.9513209067931354,-1.4000777206202324,-0.3,1
41,1989,41,41,WSB,Doug Roth,Tennessee,1.0,42.0,412.0,81.0,120.0,20.0,0.43,0.0,0.5,9.8,1.9,2.9,0.5,0.4,0.052,-5.3,-0.3,-2.193577421890429,-1.6285147322156126,-0.3,1
46,1989,46,46,PHO,Ricky Blanton,LSU,1.0,2.0,13.0,6.0,3.0,1.0,0.429,0.0,0.0,6.5,3.0,1.5,0.5,0.0,0.088,-0.3,0.0,-2.8869944008969552,-3.5831514342368207,0.0,1
51,1989,51,51,PHO,Mike Morrison,Loyola (MD),1.0,36.0,153.0,72.0,20.0,11.0,0.338,0.286,0.8,4.3,2.0,0.6,0.3,-0.3,-0.106,-10.5,-0.3,-1.7086979768580595,1.2241908420353433,-0.3,1
69,1990,15,15,MIA,Dave Jamerson,Ohio University,3.0,90.0,594.0,306.0,77.0,61.0,0.392,0.277,0.86,6.6,3.4,0.9,0.7,0.2,0.018,-3.9,-0.3,-1.4191219250105604,1.2225062994690896,-0.3,1
80,1990,26,26,DET,Lance Blanks,Texas,3.0,142.0,1045.0,289.0,110.0,117.0,0.436,0.253,0.667,7.4,2.0,0.8,0.8,0.7,0.031,-3.2,-0.3,-1.4863694773339755,0.1834868724390644,-0.3,1
82,1990,28,28,GSW,Les Jepsen,Iowa,2.0,52.0,192.0,53.0,67.0,2.0,0.333,0.0,0.65,3.7,1.0,1.3,0.0,0.1,0.031,-8.0,-0.3,-2.1921034047717245,-0.7167494792335738,-0.3,1
87,1990,33,33,UTA,Walter Palmer,Dartmouth College,2.0,48.0,209.0,100.0,65.0,11.0,0.412,0.0,0.667,4.4,2.1,1.4,0.2,-0.1,-0.013,-6.7,-0.2,-2.0414112425753577,-0.9005632153643669,-0.2,1
93,1990,39,39,CHH,Steve Scheffler,Purdue,7.0,174.0,918.0,331.0,180.0,26.0,0.558,0.2,0.759,5.3,1.9,1.0,0.1,2.9,0.153,-1.9,0.0,-1.2128359336716192,-0.11106623918791217,0.0,1
95,1990,41,41,ATL,Steve Bardo,Illinois,3.0,33.0,299.0,73.0,60.0,44.0,0.329,0.1,0.696,9.1,2.2,1.8,1.3,-0.1,-0.02,-4.0,-0.2,-2.0378573262455277,-0.04293214858935983,-0.2,1
101,1990,47,47,PHI,Derek Strong,Xavier,10.0,456.0,8548.0,3088.0,2213.0,291.0,0.43,0.18,0.786,18.7,6.8,4.9,0.6,18.5,0.104,-2.1,-0.3,0.06242746026635437,-0.11326729783073843,-0.3,1
104,1990,50,50,PHO,Miloš Babić,Tennessee Technological University,2.0,21.0,87.0,37.0,20.0,10.0,0.375,0.0,0.65,4.1,1.8,1.0,0.5,-0.1,-0.028,-5.9,-0.1,-2.1790886086236347,-0.8356310673098853,-0.1,1
105,1990,51,51,LAL,Tony Smith,Marquette,9.0,457.0,7295.0,2504.0,735.0,881.0,0.431,0.307,0.69,16.0,5.5,1.6,1.9,6.7,0.044,-2.0,0.0,-0.12940651721194696,0.339440815190929,0.0,1
106,1990,52,52,CLE,Stefano Rusconi,International,1.0,7.0,30.0,8.0,6.0,3.0,0.333,0.0,0.4,4.3,1.1,0.9,0.4,-0.1,-0.104,-11.4,-0.1,-2.5683405596191884,-1.688991585410544,-0.1,1
125,1991,17,17,GSW,Victor Alexander,Iowa State,5.0,286.0,5755.0,2542.0,1384.0,257.0,0.518,0.286,0.634,20.1,8.9,4.8,0.9,8.8,0.073,-2.2,-0.3,-0.4357945920667271,-0.3177913992459105,-0.3,1
130,1991,22,22,LAC,LeRon Ellis,Syracuse,3.0,91.0,857.0,277.0,220.0,29.0,0.433,0.0,0.613,9.4,3.0,2.4,0.3,1.2,0.069,-3.5,-0.3,-1.9289565020764996,-1.2199897488395854,-0.3,1
134,1991,26,26,CHI,Mark Randall,Kansas,4.0,127.0,883.0,332.0,160.0,56.0,0.443,0.154,0.722,7.0,2.6,1.3,0.4,1.0,0.054,-3.3,-0.3,-1.5570263608081147,-0.09235753969886444,-0.3,1
138,1991,30,30,ATL,Rodney Monroe,NC State,1.0,38.0,313.0,131.0,33.0,27.0,0.368,0.222,0.826,8.2,3.4,0.9,0.7,-0.2,-0.035,-5.3,-0.3,-1.680079696704206,0.9259856296994864,-0.3,1
140,1991,32,32,PHO,Chad Gallagher,Creighton,1.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,1.5,3.0,0.0,0.0,0.1,1.442,30.1,0.0,-1.9566310607890023,-5.40614885426312,0.0,1
142,1991,34,34,MIN,Myron Brown,Slippery Rock University of Pennsylvania,1.0,4.0,23.0,9.0,3.0,6.0,0.667,0.333,0.0,5.8,2.3,0.8,1.5,0.0,0.032,-1.8,0.0,-2.1107297349810437,-2.7714579426118187,0.0,1
151,1991,43,43,GSW,Lamont Strothers,Christopher Newport University,2.0,13.0,155.0,60.0,15.0,14.0,0.329,0.133,0.714,11.9,4.6,1.2,1.1,-0.5,-0.142,-7.7,-0.2,-2.0320208203330337,0.1954562870960234,-0.2,1
190,1992,28,28,MIN,Marlon Maxey,Texas-El Paso,2.0,98.0,1146.0,479.0,363.0,22.0,0.542,0.0,0.685,11.7,4.9,3.7,0.2,2.6,0.109,-3.0,-0.3,-1.599274657343467,-1.30780512837196,-0.3,1
193,1992,31,31,POR,Reggie Smith,TCU,2.0,66.0,384.0,99.0,120.0,5.0,0.394,0.0,0.404,5.8,1.5,1.8,0.1,0.4,0.051,-5.1,-0.3,-2.3357026574015727,-1.9014459758355253,-0.3,1
195,1992,33,33,CHI,Corey Williams,Oklahoma State,2.0,39.0,288.0,92.0,37.0,29.0,0.367,0.25,0.826,7.4,2.4,0.9,0.7,0.2,0.037,-5.6,-0.3,-1.6514908094030951,1.0613132439356683,-0.3,1
196,1992,34,34,MIN,Chris Smith,UConn,3.0,224.0,3956.0,1140.0,291.0,627.0,0.435,0.366,0.713,17.7,5.1,1.3,2.8,3.2,0.039,-2.3,-0.3,-0.7903482945902305,0.8455744709875068,-0.3,1
197,1992,35,35,CHH,Tony Bennett,Green Bay,3.0,152.0,1886.0,538.0,155.0,303.0,0.412,0.335,0.732,12.4,3.5,1.0,2.0,1.6,0.041,-2.7,-0.3,-1.2151186434372947,0.8947507297351943,-0.3,1
199,1992,37,37,MIA,Isaiah Morris,Arkansas,1.0,25.0,102.0,55.0,12.0,4.0,0.456,0.0,0.75,4.1,2.2,0.5,0.2,0.0,-0.022,-5.7,-0.1,-1.9259418984110297,-0.6974378286265819,-0.1,1
200,1992,38,38,ATL,Elmer Bennett,Notre Dame,3.0,21.0,159.0,48.0,10.0,22.0,0.34,0.273,0.722,7.6,2.3,0.5,1.0,-0.3,-0.095,-6.9,-0.2,-1.8323603384910956,0.8521985745939002,-0.2,1
201,1992,39,39,CHI,Litterial Green,Georgia,5.0,148.0,1189.0,423.0,75.0,182.0,0.42,0.077,0.665,8.0,2.9,0.5,1.2,1.6,0.066,-2.4,-0.1,-1.6774859332835155,-0.6012202023957895,-0.1,1
208,1992,46,46,DEN,Robert Werdann,St. John's,3.0,47.0,273.0,101.0,81.0,9.0,0.378,0.0,0.574,5.8,2.1,1.7,0.2,0.1,0.026,-6.3,-0.3,-2.2010295896859025,-1.1639937664290545,-0.3,1
209,1992,47,47,BOS,Darren Morningstar,Pitt,1.0,23.0,367.0,96.0,81.0,15.0,0.476,0.0,0.6,16.0,4.2,3.5,0.7,0.4,0.048,-4.5,-0.2,-2.037801954904441,-1.368197610588858,-0.2,1
210,1992,48,48,PHO,Brian Davis,Duke,1.0,68.0,374.0,131.0,55.0,22.0,0.317,0.333,0.735,5.5,1.9,0.8,0.3,0.0,0.0,-4.7,-0.3,-1.6951723955026172,1.2403379902136855,-0.3,1
212,1992,50,50,GSW,Matt Fish,UNC Wilmington,3.0,50.0,512.0,177.0,110.0,25.0,0.5,0.0,0.625,10.2,3.5,2.2,0.5,0.6,0.058,-3.1,-0.1,-1.9097768034922629,-1.3577200742811322,-0.1,1
214,1992,52,52,CHI,Matt Steigenga,Michigan State,1.0,2.0,12.0,3.0,3.0,2.0,0.25,0.0,0.5,6.0,1.5,1.5,1.0,0.0,-0.126,-8.5,0.0,-2.5961964544989833,-1.0248221235216248,0.0,1
230,1993,14,14,IND,Scott Haskin,Oregon State,1.0,27.0,186.0,55.0,55.0,6.0,0.467,0.0,0.684,6.9,2.0,2.0,0.2,0.3,0.087,-2.8,0.0,-1.96914686128179,-1.0016484702406998,0.0,1
232,1993,16,16,NJN,Rex Walters,Kansas,7.0,335.0,4602.0,1547.0,403.0,569.0,0.441,0.361,0.809,13.7,4.6,1.2,1.7,6.3,0.066,-2.0,0.0,-0.4510299690628689,1.1299222632158004,0.0,1
234,1993,18,18,UTA,Luther Wright,Seton Hall,1.0,15.0,92.0,19.0,10.0,0.0,0.348,0.0,0.75,6.1,1.3,0.7,0.0,-0.1,-0.064,-12.3,-0.2,-2.1211631654405334,-0.3494843707955073,-0.2,1
237,1993,21,21,POR,James Robinson,Alabama,7.0,381.0,6935.0,2882.0,660.0,715.0,0.394,0.348,0.666,18.2,7.6,1.7,1.9,5.8,0.04,-2.0,0.0,-0.32093979023424696,0.576547547148424,0.0,1
242,1993,26,26,ORL,Geert Hammink,LSU,3.0,8.0,27.0,14.0,7.0,2.0,0.4,0.0,0.667,3.4,1.8,0.9,0.3,0.1,0.089,-3.7,0.0,-2.1460714172076676,-0.8425564244416044,0.0,1
243,1993,27,27,PHO,Malcolm Mackey,Georgia Tech,1.0,22.0,69.0,32.0,24.0,1.0,0.378,0.0,0.5,3.1,1.5,1.1,0.0,0.1,0.036,-8.7,-0.1,-2.3509034153563952,-1.442131684611532,-0.1,1
247,1993,31,31,SAC,Evers Burns,Maryland,1.0,23.0,143.0,56.0,30.0,9.0,0.4,0.0,0.522,6.2,2.4,1.3,0.4,0.1,0.02,-5.5,-0.1,-2.2787632016338506,-1.4265747734545469,-0.1,1
248,1993,32,32,PHI,Alphonso Ford,Mississippi Valley State University,2.0,11.0,114.0,35.0,20.0,10.0,0.308,0.1,0.5,10.4,3.2,1.8,0.9,-0.4,-0.153,-8.4,-0.2,-2.3608424392799736,-0.7432803276696752,-0.2,1
250,1993,34,34,GSW,Darnell Mee,Western Kentucky,2.0,40.0,293.0,76.0,36.0,18.0,0.312,0.222,0.444,7.3,1.9,0.9,0.5,-0.1,-0.02,-2.8,-0.1,-2.2221579982321393,-0.41341376416988806,-0.1,1
251,1993,35,35,MIA,Ed Stokes,Arizona,1.0,4.0,17.0,3.0,4.0,1.0,0.333,0.0,0.5,4.3,0.8,1.0,0.3,0.0,-0.077,-7.6,0.0,-2.457907826403911,-1.2905787433758429,0.0,1
258,1993,42,42,SEA,Adonis Jordan,Kansas,2.0,10.0,97.0,21.0,6.0,22.0,0.296,0.25,0.5,9.7,2.1,0.6,2.2,0.0,-0.015,-2.9,0.0,-2.210543921990651,0.006096750031651793,0.0,1
259,1993,43,43,DEN,Josh Grant,Utah,1.0,53.0,382.0,157.0,89.0,24.0,0.404,0.279,0.759,7.2,3.0,1.7,0.5,0.5,0.06,-2.3,0.0,-1.59761771316153,0.8017551622154396,0.0,1
262,1993,46,46,HOU,Richard Petruška,UCLA,1.0,22.0,92.0,53.0,31.0,1.0,0.435,0.467,0.75,4.2,2.4,1.4,0.0,0.0,-0.014,-8.2,-0.1,-1.4250127385977547,1.5725613465901012,-0.1,1
264,1993,48,48,POR,Kevin Thompson,NC State,1.0,14.0,58.0,13.0,13.0,3.0,0.429,0.0,0.5,4.1,0.9,0.9,0.2,0.0,-0.016,-8.1,-0.1,-2.2824279097316396,-1.6011701421616993,-0.1,1
302,1994,32,32,WSB,Jim McIlvaine,Marquette,7.0,401.0,5927.0,1072.0,1243.0,105.0,0.446,0.1,0.551,14.8,2.7,3.1,0.3,9.4,0.076,-2.2,-0.3,-0.9082815103529595,-1.2952396286679337,-0.3,1
304,1994,34,34,ATL,Gaylon Nickerson,Northwestern Oklahoma State University,1.0,4.0,42.0,15.0,5.0,1.0,0.333,0.0,1.0,10.5,3.8,1.3,0.3,0.1,0.076,-1.2,0.0,-1.872548060935953,0.6955787286009357,0.0,1
307,1994,37,37,SEA,Dontonio Wingfield,Cincinnati,4.0,114.0,1146.0,423.0,275.0,76.0,0.389,0.309,0.721,10.1,3.7,2.4,0.7,1.8,0.074,-2.6,-0.2,-1.4362810142713665,0.7932893914383432,-0.2,1
309,1994,39,39,GSW,Anthony Miller,Michigan State,8.0,181.0,1637.0,510.0,488.0,66.0,0.51,0.25,0.576,9.0,2.8,2.7,0.4,3.8,0.11,-2.6,-0.2,-1.3142880623637752,-0.49808695870114306,-0.2,1
310,1994,40,40,MIA,Jeff Webster,Oklahoma,1.0,11.0,58.0,18.0,7.0,3.0,0.348,0.333,0.0,5.3,1.6,0.6,0.3,0.0,-0.03,-4.9,0.0,-2.6193800646672973,-1.7555087538313234,0.0,1
313,1994,43,43,POR,Shawnelle Scott,St. John's,4.0,105.0,634.0,189.0,228.0,20.0,0.464,0.0,0.465,6.0,1.8,2.2,0.2,1.3,0.101,-3.8,-0.3,-2.051357744101687,-1.9091211745798846,-0.3,1
315,1994,45,45,GSW,Dwayne Morton,Louisville,1.0,41.0,395.0,167.0,58.0,18.0,0.388,0.36,0.682,9.6,4.1,1.4,0.4,0.2,0.025,-3.5,-0.1,-1.64315615539016,0.9359819651547954,-0.1,1
320,1994,50,50,PHO,Charles Claxton,Georgia,1.0,3.0,7.0,2.0,2.0,0.0,0.5,0.0,0.0,2.3,0.7,0.7,0.0,0.0,-0.179,-18.9,0.0,-2.7709240824905534,-3.809940386035729,0.0,1
324,1994,54,54,SEA,Željko Rebrača,International,5.0,215.0,3280.0,1276.0,688.0,88.0,0.527,0.0,0.792,15.3,5.9,3.2,0.4,8.3,0.121,-2.2,-0.2,-1.0830121855952064,-0.9305451715451823,-0.2,1
332,1995,8,8,POR,Shawn Respert,Michigan State,4.0,172.0,2350.0,851.0,226.0,177.0,0.414,0.34,0.816,13.7,4.9,1.3,1.0,2.1,0.043,-2.3,-0.2,-1.0544515537667727,1.2191353959219235,-0.2,1
337,1995,13,13,SAC,Corliss Williamson,Arkansas,12.0,822.0,18749.0,9147.0,3183.0,972.0,0.49,0.136,0.714,22.8,11.1,3.9,1.2,34.7,0.089,-2.0,-0.1,1.951329630784687,-1.1426099013641127,-0.1,1
350,1995,26,26,SEA,Sherell Ford,University of Illinois at Chicago,1.0,28.0,139.0,90.0,24.0,5.0,0.375,0.16,0.765,5.0,3.2,0.9,0.2,0.4,0.124,-5.2,-0.1,-1.844920822186401,0.37320305126459663,-0.1,1
356,1995,32,32,WSB,Terrence Rencher,Texas,1.0,36.0,405.0,106.0,44.0,54.0,0.33,0.31,0.674,11.3,2.9,1.2,1.5,-0.2,-0.021,-4.0,-0.2,-1.8085383565147415,0.8584884605767109,-0.2,1
360,1995,36,36,VAN,Lawrence Moten,Syracuse,3.0,119.0,1814.0,747.0,181.0,182.0,0.408,0.299,0.652,15.2,6.3,1.5,1.5,0.0,0.001,-2.1,0.0,-1.4165943711770672,0.41776737970708727,0.0,1
361,1995,37,37,LAL,Frankie King,Western Carolina University,2.0,13.0,79.0,27.0,16.0,7.0,0.357,0.333,0.75,6.1,2.1,1.2,0.5,0.0,0.025,-4.7,-0.1,-1.7228217667191352,1.1938763854019725,-0.1,1
364,1995,40,40,GSW,Dwayne Whitfield,Jackson State University,1.0,8.0,122.0,40.0,25.0,2.0,0.433,0.0,0.636,15.3,5.0,3.1,0.3,0.0,0.01,-7.2,-0.2,-2.1179892413564296,-1.074573475855032,-0.2,1
366,1995,42,42,ATL,Donnie Boyce,Colorado,2.0,30.0,195.0,79.0,25.0,16.0,0.349,0.25,0.5,6.5,2.6,0.8,0.5,-0.3,-0.064,-4.9,-0.1,-2.084973037296428,-0.1722887140214688,-0.1,1
374,1995,50,50,GSW,Martin Lewis,Seward County Community College,2.0,25.0,239.0,89.0,35.0,7.0,0.473,0.3,0.593,9.6,3.6,1.4,0.3,0.1,0.026,-5.0,-0.2,-1.7212866322362417,0.03637214909568632,-0.2,1
379,1995,55,55,GSW,Michael McDonald,New Orleans,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,-0.1,-0.638,-32.4,0.0,-3.5900415796740828,-2.2125608012969327,0.0,1
381,1995,57,57,ATL,Cuonzo Martin,Purdue,2.0,7.0,32.0,9.0,3.0,3.0,0.25,0.6,0.0,4.6,1.3,0.4,0.4,-0.1,-0.151,-6.3,0.0,-2.4805218860963305,-0.18018468460711104,0.0,1
382,1995,58,58,DET,Don Reid,Georgetown,8.0,403.0,5374.0,1454.0,1169.0,143.0,0.53,0.0,0.658,13.3,3.6,2.9,0.4,13.7,0.123,-2.1,-0.2,-0.7525578856526155,-1.5996427130525233,-0.2,1
403,1996,21,21,NYK,Dontae' Jones,Mississippi State,1.0,15.0,91.0,44.0,9.0,5.0,0.333,0.261,0.0,6.1,2.9,0.6,0.3,-0.3,-0.175,-10.9,-0.2,-2.7162903282425335,-2.0492621046423283,-0.2,1
405,1996,23,23,DEN,Efthimios Rentzias,International,1.0,35.0,144.0,52.0,26.0,7.0,0.339,0.5,0.889,4.1,1.5,0.7,0.2,0.2,0.058,-3.8,-0.1,-1.3608367747048646,2.584526090955054,-0.1,1
419,1996,37,37,DEN,Jeff McInnis,UNC,11.0,576.0,15927.0,5396.0,1170.0,2514.0,0.431,0.328,0.796,27.7,9.4,2.0,4.4,23.1,0.07,-2.1,-0.3,1.4234993080454443,0.734191296722297,-0.3,1
420,1996,38,38,BOS,Steve Hamer,Tennessee,1.0,35.0,268.0,76.0,60.0,7.0,0.526,0.0,0.552,7.7,2.2,1.7,0.2,0.2,0.031,-6.5,-0.3,-2.008842449079557,-1.718011700041147,-0.3,1
423,1996,41,41,SAC,Jason Sasser,Texas Tech,2.0,14.0,108.0,30.0,15.0,4.0,0.412,0.333,0.5,7.7,2.1,1.1,0.3,0.0,-0.014,-5.7,-0.1,-1.9226490787412072,0.024436235070489216,-0.1,1
424,1996,42,42,HOU,Randy Livingston,LSU,11.0,203.0,2684.0,773.0,282.0,415.0,0.406,0.351,0.771,13.2,3.8,1.4,2.0,2.3,0.041,-2.5,-0.3,-0.9740441421465978,1.1101864996108672,-0.3,1
425,1996,43,43,PHO,Ben Davis,Arizona,4.0,40.0,154.0,54.0,53.0,5.0,0.356,0.0,0.462,3.9,1.4,1.3,0.1,0.1,0.04,-5.5,-0.1,-2.3936443384416473,-1.531940913235535,-0.1,1
428,1996,46,46,POR,Marcus Brown,Murray State,2.0,27.0,229.0,92.0,22.0,23.0,0.381,0.333,0.714,8.5,3.4,0.8,0.9,0.3,0.066,-2.6,0.0,-1.6876383989008834,0.9686457103676162,0.0,1
435,1996,53,53,MIL,Jeff Nordgaard,Green Bay,1.0,13.0,48.0,18.0,14.0,3.0,0.278,0.0,0.889,3.7,1.4,1.1,0.2,0.0,0.043,-3.7,0.0,-2.0764897813720284,0.42676248518073745,0.0,1
438,1996,56,56,CLE,Reggie Geary,Arizona,2.0,101.0,931.0,209.0,82.0,110.0,0.344,0.328,0.493,9.2,2.1,0.8,1.1,0.6,0.032,-2.5,-0.1,-1.829249267664949,0.15539604413736796,-0.1,1
439,1996,57,57,SEA,Drew Barry,Georgia Tech,3.0,60.0,598.0,134.0,67.0,111.0,0.417,0.381,0.774,10.0,2.2,1.1,1.9,0.6,0.051,-3.5,-0.2,-1.4024234073627784,1.3045759058010515,-0.2,1
460,1997,20,20,MIN,Paul Grant,Wisconsin,2.0,16.0,111.0,29.0,18.0,3.0,0.448,0.0,0.375,6.9,1.8,1.1,0.2,-0.1,-0.043,-8.7,-0.2,-2.389506530158669,-2.1602648272136964,-0.2,1
471,1997,31,31,DET,Charles O'Bannon,UCLA,2.0,48.0,399.0,120.0,67.0,29.0,0.4,0.0,0.87,8.3,2.5,1.4,0.6,0.6,0.07,-2.0,0.0,-1.8078928867846085,-0.05696279803906775,0.0,1
472,1997,32,32,DEN,James Cotton,Cal State Long Beach,2.0,19.0,92.0,49.0,16.0,0.0,0.359,0.0,0.778,4.8,2.6,0.8,0.0,0.0,0.008,-6.6,-0.1,-2.06116994387317,-0.2754969295465141,-0.1,1
473,1997,33,33,PHI,Marko Milič,International,2.0,44.0,216.0,108.0,30.0,14.0,0.56,0.429,0.647,4.9,2.5,0.7,0.3,0.2,0.047,-2.4,0.0,-1.3403557583709318,0.5783647473617191,0.0,1
474,1997,34,34,DAL,Bubba Wells,Austin Peay State University,1.0,39.0,395.0,128.0,68.0,34.0,0.414,0.167,0.721,10.1,3.3,1.7,0.9,0.1,0.013,-3.5,-0.2,-1.7767106786982472,0.09695065164671701,-0.2,1
475,1997,35,35,PHI,Kebu Stewart,Cal State-Bakersfield,1.0,15.0,110.0,40.0,31.0,2.0,0.462,0.0,0.64,7.3,2.7,2.1,0.1,0.2,0.098,-1.4,0.0,-2.055829782961873,-1.1537201480317438,0.0,1
476,1997,36,36,PHI,James Collins,Florida State,1.0,23.0,103.0,59.0,14.0,3.0,0.382,0.45,0.571,4.5,2.6,0.6,0.1,0.0,0.008,-1.0,0.0,-1.7400904042970555,0.95230109193319,0.0,1
478,1997,38,38,MIL,Jerald Honeycutt,Tulane,2.0,54.0,632.0,275.0,105.0,36.0,0.391,0.362,0.632,11.7,5.1,1.9,0.7,0.3,0.02,-3.3,-0.2,-1.6408666695559175,0.7252642851650092,-0.2,1
485,1997,45,45,WAS,God Shammgod,Providence,1.0,20.0,146.0,61.0,7.0,36.0,0.328,0.0,0.767,7.3,3.1,0.4,1.8,-0.1,-0.049,-6.2,-0.2,-2.1105804486154565,-0.21841164518522307,-0.2,1
491,1997,51,51,LAL,DeJuan Wheat,Louisville,2.0,80.0,740.0,265.0,56.0,127.0,0.383,0.39,0.7,9.3,3.3,0.7,1.6,0.5,0.034,-1.9,0.0,-1.48535592173837,1.1561780724438642,0.0,1
515,1998,18,18,HOU,Mirsad Türkcan,International,1.0,17.0,90.0,33.0,33.0,5.0,0.368,0.0,0.625,5.3,1.9,1.9,0.3,0.0,-0.019,-6.3,-0.1,-2.224243712567653,-0.9135437949975597,-0.1,1
534,1998,37,37,PHI,Casey Shaw,Toledo,1.0,9.0,14.0,2.0,3.0,0.0,0.125,0.0,0.0,1.6,0.2,0.3,0.0,-0.1,-0.498,-29.8,-0.1,-3.37413232165189,-2.61407176208755,-0.1,1
535,1998,38,38,NYK,DeMarco Johnson,UNC Charlotte,1.0,5.0,37.0,6.0,7.0,0.0,0.333,0.0,0.0,7.4,1.2,1.4,0.0,-0.1,-0.091,-10.3,-0.1,-3.0379483570733905,-3.2780839946008484,-0.1,1
537,1998,40,40,DET,Korleone Young,International,1.0,3.0,15.0,13.0,4.0,1.0,0.5,0.25,1.0,5.0,4.3,1.3,0.3,0.1,0.28,9.4,0.0,-1.3155462759029242,1.343175638728968,0.0,1
539,1998,42,42,ORL,Miles Simon,Arizona,1.0,5.0,19.0,2.0,2.0,0.0,0.2,0.0,0.0,3.8,0.4,0.4,0.0,-0.1,-0.289,-17.4,-0.1,-3.257167788481452,-2.852500723296417,-0.1,1
